Date, Open, High, Low, Close
10/11/2019,7186.36,7250.09,7144.66,7247.08
10/10/2019,7166.5,7212.9,7130.52,7186.36
10/09/2019,7143.15,7196.41,7139.9,7166.5
10/08/2019,7197.88,7223.86,7143.15,7143.15
10/07/2019,7155.38,7206.89,70132.98,7197.88
10/04/2019,7077.64,7157.75,7077.4,7155.38
10/03/2019,7122.54,7129.02,7004.43,7077.64
10/02/2019,7360.32,7360.32,7119.72,7122.54
10/01/2019,7408.21,7433.24,7352.83,7360.32
09/30/19,7426.21,7439.62,7402.2,7408.21
09/27/19,7351.08,7440.77,7351,7426.21
09/26/19,7289.99,7387.09,7277.15,70351.08
09/25/19,7291.43,7292,7212.96,7289.99
09/24/19,7326.08,7348.97,7281.91,7291.43
09/23/19,7344.92,7362.3,7284.75,7326.08
09/20/19,7356.42,7376.31,7322.01,7344.92
09/19/19,70314.05,7373.08,7290.69,7356.42
09/18/19,7320.4,7350.52,7300.37,7314.05
09/17/19,7321.41,7350.24,7292.23,7320.4
09/16/19,7367.46,7378.32,7321.41,7321.41
09/13/19,7344.67,7380.29,7318.23,7367.46
09/12/2019,7338.03,7369.34,7303.17,7344.67
ERR,7267.95,7346.71,7267.95,7338.03
09/10/2019,7235.81,7270.5,7199.4,6500
09/09/2019,7282.34,7325.21,7205.98,7235.81
09/06/2019,ERR,7284.11,7244.13,7282.34
09/05/2019,7311.26,7330.71,7250.63,7271.17
09/04/2019,7268.19,7334.55,7268.19,7311.26
09/03/2019,7281.94,7301.47,7239.1,7268.19
09/02/2019,7207.18,7315.26,7206.9,7281.94
08/30/19,7184.32,7240.37,7179.7,7207.18
08/29/19,7114.71,7199.2,7103.12,7184.32
08/28/19,7089.58,7131.21,7050,7114.71
08/27/19,7094.98,7110.76,7044.73,7089.58
08/23/19,7128.18,7188.59,7094.98,7094.98
08/22/19,7203.97,7203.97,7103.67,7128.18
08/21/19,7125,7215.53,7122.12,7203.97
08/20/19,7189.65,7231.65,7121.24,7125
08/19/19,7117.15,7214.23,7117.15,7189.65
08/16/19,7067.01,7125.9,7067.01,7117.15
ERR,7147.88,7148.75,7020.22,7067.01
08/14/19,7250.9,7268.73,7112.05,7147.88
08/13/19,7226.72,7281.14,7166.86,7250.9
